"key","bid","bid_no","ra_no","items","quantity","department","startdate","enddate","document","status"
"GEM/2018/B/10122",70967,"","GEM/2018/B/10122","Air Conditioner",2,"Department of Revenue","2018-05-08","2018-05-18","https://bidplus.gem.gov.in/showbidDocument/70967","Bid Awarded"
"GEM/2018/B/10123",70974,"","GEM/2018/B/10123","PA Speaker",2,"Central Armed Police Forces","2018-05-09","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/70974","Bid Awarded"
"GEM/2018/B/10127",71002,"","GEM/2018/B/10127","Desktops",4,"NA","2018-05-08","2018-05-18","https://bidplus.gem.gov.in/showbidDocument/71002","Bid Awarded"
"GEM/2018/B/10140",71093,"","GEM/2018/B/10140","office suite software - MS Office etc",38,"NA","2018-05-08","2018-05-21","https://bidplus.gem.gov.in/showbidDocument/71093","Bid Awarded"
"GEM/2018/B/10143",71114,"","GEM/2018/B/10143","diesel generators- DG Sets",2,"Central Armed Police Forces","2018-05-11","2018-05-21","https://bidplus.gem.gov.in/showbidDocument/71114","Bid Awarded"
"GEM/2018/B/10144",71121,"","GEM/2018/B/10144","PA Mixer",1,"Central Armed Police Forces","2018-05-09","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/71121","Bid Awarded"
"GEM/2018/B/1015",7204,"","GEM/2018/B/1015","Drinking Water Cooler",10,"Department of Defence Production and Supply","2018-05-11","2018-05-21","https://bidplus.gem.gov.in/showbidDocument/7204","Bid Awarded"
"GEM/2018/B/10150",71163,"","GEM/2018/B/10150","media control systems or wireless presentation system",2,"Central Armed Police Forces","2018-05-09","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/71163","Bid Awarded"
"GEM/2018/B/10156",71205,"","GEM/2018/B/10156","Multifunction Machines",1,"NA","2018-05-10","2018-05-22","https://bidplus.gem.gov.in/showbidDocument/71205","Bid Awarded"
"GEM/2018/B/10158",71219,"","GEM/2018/B/10158","barbed wire",20000,"Department of Defence","2018-05-08","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/71219","Bid Awarded"
"GEM/2018/B/10160",71233,"","GEM/2018/B/10160","LED Luminaire (for Flood Light)",12,"Department of Defence","2018-05-08","2018-05-18","https://bidplus.gem.gov.in/showbidDocument/71233","Bid Awarded"
"GEM/2018/B/10161",71240,"","GEM/2018/B/10161","Printer or photo Copier Paper",50,"NA","2018-05-09","2018-05-23","https://bidplus.gem.gov.in/showbidDocument/71240","Bid Awarded"
"GEM/2018/B/10178",71359,"","GEM/2018/B/10178","Online UPS",2,"India Meteorological Department (IMD)","2018-05-08","2018-05-18","https://bidplus.gem.gov.in/showbidDocument/71359","Bid Awarded"
"GEM/2018/B/10179",71366,"","GEM/2018/B/10179","sand goggles",700,"Central Armed Police Forces","2018-05-11","2018-05-21","https://bidplus.gem.gov.in/showbidDocument/71366","Bid Awarded"
"GEM/2018/B/10183",71394,"","GEM/2018/B/10183","All in one",4,"NA","2018-05-08","2018-05-18","https://bidplus.gem.gov.in/showbidDocument/71394","Bid Awarded"
"GEM/2018/B/10186",71415,"","GEM/2018/B/10186","Air Conditioner",1,"HARYANA","2018-05-08","2018-05-18","https://bidplus.gem.gov.in/showbidDocument/71415","Bid Awarded"
"GEM/2018/B/10188",71429,"","GEM/2018/B/10188","thin client computers",55,"NA","2018-05-08","2018-05-23","https://bidplus.gem.gov.in/showbidDocument/71429","Bid Awarded"
"GEM/2018/B/10189",71436,"","GEM/2018/B/10189","Printer or photo Copier Paper",600,"Contracts and Materials","2018-05-08","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/71436","Bid Awarded"
"GEM/2018/B/10197",71492,"","GEM/2018/B/10197","almirah- Steel",40,"Central Armed Police Forces","2018-05-09","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/71492","Bid Awarded"
"GEM/2018/B/10198",71499,"","GEM/2018/B/10198","water storage tanks",5,"Central Armed Police Forces","2018-05-09","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/71499","Bid Awarded"
"GEM/2018/B/10199",71506,"","GEM/2018/B/10199","almirah- Steel",10,"Central Armed Police Forces","2018-05-09","2018-05-21","https://bidplus.gem.gov.in/showbidDocument/71506","Bid Awarded"
"GEM/2018/B/10204",71541,"","GEM/2018/B/10204","Printer",1,"NA","2018-05-09","2018-05-21","https://bidplus.gem.gov.in/showbidDocument/71541","Bid Awarded"
"GEM/2018/B/10208",71569,"","GEM/2018/B/10208","lead acid battery",17,"Department of Defence","2018-05-09","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/71569","Bid Awarded"
"GEM/2018/B/10214",71611,"","GEM/2018/B/10214","ac static watthour meters-Energy meter",400,"Department of Defence Production and Supply","2018-05-10","2018-05-21","https://bidplus.gem.gov.in/showbidDocument/71611","Bid Awarded"
"GEM/2018/B/10225",71688,"","GEM/2018/B/10225","Human Resource Service",26,"Department of Industrial Policy and Promotion","2018-05-09","2018-05-21","https://bidplus.gem.gov.in/showbidDocument/71688","Bid Awarded"
"GEM/2018/B/10226",71695,"","GEM/2018/B/10226","almirah- Steel",11,"Department of Defence Production and Supply","2018-05-09","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/71695","Bid Awarded"
"GEM/2018/B/10228",71709,"","GEM/2018/B/10228","Multifunction Machines",1,"KERALA","2018-05-09","2018-05-23","https://bidplus.gem.gov.in/showbidDocument/71709","Bid Awarded"
"GEM/2018/B/10232",71737,"","GEM/2018/B/10232","Desktops",5,"Department of Defence","2018-05-09","2018-05-24","https://bidplus.gem.gov.in/showbidDocument/71737","Bid Awarded"
"GEM/2018/B/10236",71765,"","GEM/2018/B/10236","diesel generators- DG Sets",2,"Central Armed Police Forces","2018-05-09","2018-05-25","https://bidplus.gem.gov.in/showbidDocument/71765","Bid Awarded"
"GEM/2018/B/10241",71800,"","GEM/2018/B/10241","Human Resource Service",16,"Department of Industrial Policy and Promotion","2018-05-09","2018-05-21","https://bidplus.gem.gov.in/showbidDocument/71800","Bid Awarded"
"GEM/2018/B/10245",71828,"","GEM/2018/B/10245","Air Conditioner",3,"Department of Higher Education","2018-05-09","2018-05-22","https://bidplus.gem.gov.in/showbidDocument/71828","Bid Awarded"
"GEM/2018/B/10248",71849,"","GEM/2018/B/10248","Printer",5,"NA","2018-05-09","2018-05-21","https://bidplus.gem.gov.in/showbidDocument/71849","Bid Awarded"
"GEM/2018/B/10249",71856,"","GEM/2018/B/10249","Drinking Water Cooler",2,"Central Armed Police Forces","2018-05-09","2018-05-21","https://bidplus.gem.gov.in/showbidDocument/71856","Bid Awarded"
"GEM/2018/B/10250",71863,"","GEM/2018/B/10250","Human Resource Service",1,"Department of Industrial Policy and Promotion","2018-05-09","2018-05-21","https://bidplus.gem.gov.in/showbidDocument/71863","Bid Awarded"
"GEM/2018/B/10257",71912,"","GEM/2018/B/10257","Printer",6,"Department of Defence","2018-05-09","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/71912","Bid Awarded"
"GEM/2018/B/10260",71933,"","GEM/2018/B/10260","almirah- Steel",13,"NA","2018-05-09","2018-05-24","https://bidplus.gem.gov.in/showbidDocument/71933","Bid Awarded"
"GEM/2018/B/10262",71947,"","GEM/2018/B/10262","Printer",4,"NA","2018-05-09","2018-05-21","https://bidplus.gem.gov.in/showbidDocument/71947","Bid Awarded"
"GEM/2018/B/10267",71982,"","GEM/2018/B/10267","battery cell",125,"Central Armed Police Forces","2018-05-10","2018-05-20","https://bidplus.gem.gov.in/showbidDocument/71982","Bid Awarded"
"GEM/2018/B/10269",71996,"","GEM/2018/B/10269","End point protection software/ appliances",750,"Department of Defence Research & Development","2018-05-09","2018-05-24","https://bidplus.gem.gov.in/showbidDocument/71996","Bid Awarded"
"GEM/2018/B/10271",72010,"","GEM/2018/B/10271","biometric identification equipment",50,"Department of Financial Services","2018-05-09","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/72010","Bid Awarded"
"GEM/2018/B/10274",72031,"","GEM/2018/B/10274","scanners",5,"NA","2018-05-09","2018-05-21","https://bidplus.gem.gov.in/showbidDocument/72031","Bid Awarded"
"GEM/2018/B/10279",72066,"","GEM/2018/B/10279","Air Conditioner",3,"NA","2018-05-09","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/72066","Bid Awarded"
"GEM/2018/B/10287",72122,"","GEM/2018/B/10287","Desktops",19,"NA","2018-05-09","2018-05-23","https://bidplus.gem.gov.in/showbidDocument/72122","Bid Awarded"
"GEM/2018/B/10288",72129,"","GEM/2018/B/10288","Notebook Computers-laptop",2,"Department of Science and Technology (DST)","2018-05-09","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/72129","Bid Awarded"
"GEM/2018/B/10289",72136,"","GEM/2018/B/10289","OEM Cartridge,OEM Cartridge,OEM Cartridge",10,"NA","2018-05-09","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/72136","Bid Awarded"
"GEM/2018/B/10295",72178,"","GEM/2018/B/10295","COMPUTED RADIOGRAPHY SYSTEM",1,"NA","2018-05-09","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/72178","Bid Awarded"
"GEM/2018/B/10299",72206,"","GEM/2018/B/10299","Notebook Computers-laptop",1,"NA","2018-05-09","2018-05-25","https://bidplus.gem.gov.in/showbidDocument/72206","Bid Awarded"
"GEM/2018/B/10301",72220,"","GEM/2018/B/10301","lead acid battery",94,"Department of Defence","2018-05-09","2018-05-22","https://bidplus.gem.gov.in/showbidDocument/72220","Bid Awarded"
"GEM/2018/B/10309",72276,"","GEM/2018/B/10309","lead acid battery",105,"Ministry of Human Resource Development","2018-05-09","2018-05-25","https://bidplus.gem.gov.in/showbidDocument/72276","Bid Awarded"
"GEM/2018/B/10312",72297,"","GEM/2018/B/10312","almirah- Steel",10,"Department of Atomic Energy","2018-05-09","2018-05-23","https://bidplus.gem.gov.in/showbidDocument/72297","Bid Awarded"
"GEM/2018/B/10317",72332,"","GEM/2018/B/10317","Desktops",3,"Ministry of Defence","2018-05-09","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/72332","Bid Awarded"
"GEM/2018/B/10319",72346,"","GEM/2018/B/10319","safety boots or industrial gum boots-PVC",138,"NA","2018-05-09","2018-05-23","https://bidplus.gem.gov.in/showbidDocument/72346","Bid Awarded"
"GEM/2018/B/10320",72353,"","GEM/2018/B/10320","almirah- Steel",15,"Medical Health and Family Welfare Department Uttar Pradesh","2018-05-09","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/72353","Bid Awarded"
"GEM/2018/B/10321",72360,"","GEM/2018/B/10321","steel  body evaporative coolers-desert cooler",27,"Department of Higher Education","2018-05-09","2018-05-21","https://bidplus.gem.gov.in/showbidDocument/72360","Bid Awarded"
"GEM/2018/B/10322",72367,"","GEM/2018/B/10322","Air Conditioner",8,"NA","2018-05-09","2018-05-23","https://bidplus.gem.gov.in/showbidDocument/72367","Bid Awarded"
"GEM/2018/B/10326",72395,"","GEM/2018/B/10326","lead acid battery",42,"Department of Defence","2018-05-09","2018-05-23","https://bidplus.gem.gov.in/showbidDocument/72395","Bid Awarded"
"GEM/2018/B/10330",72423,"","GEM/2018/B/10330","Air Conditioner",13,"NA","2018-05-09","2018-05-23","https://bidplus.gem.gov.in/showbidDocument/72423","Bid Awarded"
"GEM/2018/B/10332",72437,"","GEM/2018/B/10332","End point protection software/ appliances",300,"Department of Higher Education","2018-05-10","2018-05-20","https://bidplus.gem.gov.in/showbidDocument/72437","Bid Awarded"
"GEM/2018/B/10333",72444,"","GEM/2018/B/10333","OEM Cartridge",50,"Department of Higher Education","2018-05-09","2018-05-23","https://bidplus.gem.gov.in/showbidDocument/72444","Bid Awarded"
"GEM/2018/B/10343",72514,"","GEM/2018/B/10343","Modular Table",12,"Agriculture Department Rajasthan","2018-05-09","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/72514","Bid Awarded"
"GEM/2018/B/10345",72528,"","GEM/2018/B/10345","computer workstation",1,"NA","2018-05-09","2018-05-22","https://bidplus.gem.gov.in/showbidDocument/72528","Bid Awarded"
"GEM/2018/B/10347",72542,"","GEM/2018/B/10347","miniature circuit breakers",15,"Department of Defence Research & Development","2018-05-09","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/72542","Bid Awarded"
"GEM/2018/B/10349",72556,"","GEM/2018/B/10349","Multifunction Machines",6,"Energy and Petro Chemicals Department Gujarat","2018-05-09","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/72556","Bid Awarded"
"GEM/2018/B/10354",72591,"","GEM/2018/B/10354","Printer",13,"NA","2018-05-11","2018-05-21","https://bidplus.gem.gov.in/showbidDocument/72591","Bid Awarded"
"GEM/2018/B/10358",72619,"","GEM/2018/B/10358","miniature circuit breakers",10,"Department of Defence Research & Development","2018-05-09","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/72619","Bid Awarded"
"GEM/2018/B/10360",72633,"","GEM/2018/B/10360","All in one",9,"Department of Revenue","2018-05-09","2018-05-24","https://bidplus.gem.gov.in/showbidDocument/72633","Bid Awarded"
"GEM/2018/B/10371",72710,"","GEM/2018/B/10371","Modular Table",12,"Agriculture Department Rajasthan","2018-05-09","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/72710","Bid Awarded"
"GEM/2018/B/10372",72717,"","GEM/2018/B/10372","Air Conditioner",48,"NA","2018-05-09","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/72717","Bid Awarded"
"GEM/2018/B/10376",72745,"","GEM/2018/B/10376","bib taps and stop valves cast copper alloy",10,"Department of Defence Research & Development","2018-05-09","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/72745","Bid Awarded"
"GEM/2018/B/10379",72766,"","GEM/2018/B/10379","Online UPS",1,"Ministry of Defence","2018-05-09","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/72766","Bid Awarded"
"GEM/2018/B/10381",72780,"","GEM/2018/B/10381","Printer",6,"Energy and Petro Chemicals Department Gujarat","2018-05-09","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/72780","Bid Awarded"
"GEM/2018/B/10386",72815,"","GEM/2018/B/10386","Line Intractive UPS with AVR",13,"Department of Defence","2018-05-09","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/72815","Bid Awarded"
"GEM/2018/B/10389",72836,"","GEM/2018/B/10389","anti set off spray powder",78,"Central Armed Police Forces","2018-05-09","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/72836","Bid Awarded"
"GEM/2018/B/10392",72857,"","GEM/2018/B/10392","lead acid battery",12,"Department of Defence","2018-05-09","2018-05-21","https://bidplus.gem.gov.in/showbidDocument/72857","Bid Awarded"
"GEM/2018/B/10394",72871,"","GEM/2018/B/10394","Meeting Table",4,"Agriculture Department Rajasthan","2018-05-09","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/72871","Bid Awarded"
"GEM/2018/B/10396",72885,"","GEM/2018/B/10396","Printer",7,"Energy and Petro Chemicals Department Gujarat","2018-05-09","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/72885","Bid Awarded"
"GEM/2018/B/1040",7379,"","GEM/2018/B/1040","Potable water purification system",1,"Central Armed Police Forces","2018-05-02","2018-05-09","https://bidplus.gem.gov.in/showbidDocument/7379","Bid Awarded"
"GEM/2018/B/10401",72920,"","GEM/2018/B/10401","modular electrical switches and accessories",30,"Department of Defence Research & Development","2018-05-09","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/72920","Bid Awarded"
"GEM/2018/B/10402",72927,"","GEM/2018/B/10402","Desktops",6,"NA","2018-05-09","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/72927","Bid Awarded"
"GEM/2018/B/10409",72976,"","GEM/2018/B/10409","tissue papers",300,"Department of Defence","2018-05-09","2018-05-21","https://bidplus.gem.gov.in/showbidDocument/72976","Bid Awarded"
"GEM/2018/B/10410",72983,"","GEM/2018/B/10410","classroom chairs",100,"Department of Defence","2018-05-09","2018-05-21","https://bidplus.gem.gov.in/showbidDocument/72983","Bid Awarded"
"GEM/2018/B/10412",72997,"","GEM/2018/B/10412","scanners",4,"Energy and Petro Chemicals Department Gujarat","2018-05-09","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/72997","Bid Awarded"
"GEM/2018/B/10416",73025,"","GEM/2018/B/10416","OEM Cartridge",30,"Department of Higher Education","2018-05-09","2018-05-21","https://bidplus.gem.gov.in/showbidDocument/73025","Bid Awarded"
"GEM/2018/B/10417",73032,"","GEM/2018/B/10417","oxygen concentrator",2,"Central Armed Police Forces","2018-05-09","2018-05-21","https://bidplus.gem.gov.in/showbidDocument/73032","Bid Awarded"
"GEM/2018/B/10418",73039,"","GEM/2018/B/10418","OEM Cartridge",30,"NA","2018-05-09","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/73039","Bid Awarded"
"GEM/2018/B/10425",73088,"","GEM/2018/B/10425","laundry soap",1600,"Department of Defence","2018-05-09","2018-05-21","https://bidplus.gem.gov.in/showbidDocument/73088","Bid Awarded"
"GEM/2018/B/10427",73102,"","GEM/2018/B/10427","Multimedia Projectors",5,"Department of Defence","2018-05-09","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/73102","Bid Awarded"
"GEM/2018/B/10428",73109,"","GEM/2018/B/10428","Alcohol Based Hand Rub/Hand Sanitizer",500,"Central Armed Police Forces","2018-05-09","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/73109","Bid Awarded"
"GEM/2018/B/10430",73123,"","GEM/2018/B/10430","designing  software",3,"Gurugram Metropolitan Development Authority","2018-05-09","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/73123","Bid Awarded"
"GEM/2018/B/10433",73144,"","GEM/2018/B/10433","waste containers or rigid liners- Dust bin or Garbage Bin or Household Bin",30,"Urban Development and Environment Department","2018-05-09","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/73144","Bid Awarded"
"GEM/2018/B/10434",73151,"","GEM/2018/B/10434","automotive vehicles pneumatic tyres",14,"Central Armed Police Forces","2018-05-09","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/73151","Bid Awarded"
"GEM/2018/B/10437",73172,"","GEM/2018/B/10437","Disposable Syringes",1000000,"Education Department Chandigarh","2018-05-09","2018-05-24","https://bidplus.gem.gov.in/showbidDocument/73172","Bid Awarded"
"GEM/2018/B/10440",73193,"","GEM/2018/B/10440"," chairs-office",80,"Agriculture Department Rajasthan","2018-05-09","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/73193","Bid Awarded"
"GEM/2018/B/10443",73214,"","GEM/2018/B/10443","pressure sensitive adhesive plasticized pvc tapes with nonthermosetting adhesive",350,"Department of Defence","2018-05-09","2018-05-21","https://bidplus.gem.gov.in/showbidDocument/73214","Bid Awarded"
"GEM/2018/B/10450",73263,"","GEM/2018/B/10450","Projector Screen",5,"Department of Defence","2018-05-09","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/73263","Bid Awarded"
"GEM/2018/B/10456",73305,"","GEM/2018/B/10456","Online UPS",5,"Department of Defence","2018-05-09","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/73305","Bid Awarded"
"GEM/2018/B/10458",73319,"","GEM/2018/B/10458","Multifunction Machines",1,"NA","2018-05-18","2018-05-28","https://bidplus.gem.gov.in/showbidDocument/73319","Bid Awarded"
"GEM/2018/B/10465",73368,"","GEM/2018/B/10465","Ceiling Fan",70,"Ministry of Youth Affairs and Sports","2018-05-09","2018-05-24","https://bidplus.gem.gov.in/showbidDocument/73368","Bid Awarded"
"GEM/2018/B/10466",73375,"","GEM/2018/B/10466","hopper or tipper",1,"Housing and Environment Department Madhya Pradesh","2018-05-09","2018-05-27","https://bidplus.gem.gov.in/showbidDocument/73375","Bid Awarded"
"GEM/2018/B/10468",73389,"","GEM/2018/B/10468","automatic line voltage corrector or step type auto transformer",40,"Department of Defence","2018-05-09","2018-05-21","https://bidplus.gem.gov.in/showbidDocument/73389","Bid Awarded"
"GEM/2018/B/10469",73396,"","GEM/2018/B/10469","All in one",2,"NA","2018-05-09","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/73396","Bid Awarded"
"GEM/2018/B/10475",73438,"","GEM/2018/B/10475","Online UPS",9,"Department of Defence","2018-05-09","2018-05-21","https://bidplus.gem.gov.in/showbidDocument/73438","Bid Awarded"
"GEM/2018/B/10476",73445,"","GEM/2018/B/10476","Inverter with sine wave output",1,"College Education Department Rajasthan","2018-05-09","2018-05-23","https://bidplus.gem.gov.in/showbidDocument/73445","Bid Awarded"
"GEM/2018/B/10478",73459,"","GEM/2018/B/10478","non modular elecrical switches and accessories flush type",250,"Department of Defence","2018-05-09","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/73459","Bid Awarded"
"GEM/2018/B/10479",73466,"","GEM/2018/B/10479","Desktops",20,"Delhi Legislative Assembly Department","2018-05-11","2018-05-28","https://bidplus.gem.gov.in/showbidDocument/73466","Bid Awarded"
"GEM/2018/B/10484",73501,"","GEM/2018/B/10484","Light Emitting Diode LED Fixture- LED tube light",200,"Ministry of Youth Affairs and Sports","2018-05-09","2018-05-24","https://bidplus.gem.gov.in/showbidDocument/73501","Bid Awarded"
"GEM/2018/B/10490",73543,"","GEM/2018/B/10490","telecommunication cable",3050,"Department of Defence","2018-05-09","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/73543","Bid Awarded"
"GEM/2018/B/10494",73571,"","GEM/2018/B/10494","portable  emergency lighting sysetem",1,"NA","2018-05-09","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/73571","Bid Awarded"
"GEM/2018/B/10506",73655,"","GEM/2018/B/10506","All in one",10,"NA","2018-05-09","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/73655","Bid Awarded"
"GEM/2018/B/10513",73704,"","GEM/2018/B/10513","Printer",128,"Department of Defence","2018-05-09","2018-05-21","https://bidplus.gem.gov.in/showbidDocument/73704","Bid Awarded"
"GEM/2018/B/10521",73760,"","GEM/2018/B/10521","Printer",1,"NA","2018-05-10","2018-05-21","https://bidplus.gem.gov.in/showbidDocument/73760","Bid Awarded"
"GEM/2018/B/10524",73781,"","GEM/2018/B/10524","Printer",164,"Public Works Department Maharashtra","2018-05-09","2018-05-23","https://bidplus.gem.gov.in/showbidDocument/73781","Bid Awarded"
