key,bid,bid_no,ra_no,items,quantity,department,startdate,enddate,document,status
GEM/2023/B/3598619,4930513,,GEM/2023/B/3598619,"040100164 BALL BEARING,040400111 ROLLER BEARING,040400112 CYLINDRICAL ROLLER BEARING,040100375 BALL",220,HINDUSTAN COPPER Limited,21-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4930513,Technical Evaluated
GEM/2023/B/3596680,4928428,,GEM/2023/B/3596680,STAINLESS STEEL (316L) BASKET INCLUDING FLIGHT BAR (SK-3116) (AS PER SCOPE OF WORK 30/MF/SoW/SSB/02,7,Department of Defence Production,21-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4928428,Technical Evaluated
GEM/2023/B/3596173,4927885,,GEM/2023/B/3596173,Motor cooling fan,100,NA,21-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4927885,Technical Evaluated
GEM/2023/B/3593294,4924783,,GEM/2023/B/3593294,601026181 ALT RSP40-105,100,Department of Defence Production,20-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4924783,Technical Evaluated
GEM/2023/B/3627660,4961926,,GEM/2023/B/3627660,Touchless Sanitizer Dispenser,5,Department of Atomic Energy,30-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4961926,Technical Evaluated
GEM/2023/B/3618528,4952063,,GEM/2023/B/3618528,Chair Office (V2),10,Department of Atomic Energy,30-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4952063,Technical Evaluated
GEM/2023/B/3617640,4951094,,GEM/2023/B/3617640,Window Embedded Thin Client,5,Department of Military Affairs,26-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4951094,Technical Evaluated
GEM/2023/B/3616209,4949524,,GEM/2023/B/3616209,Scanner (V2),12,Department of Financial Services,27-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4949524,Technical Evaluated
GEM/2023/B/3611137,4943932,,GEM/2023/B/3611137,Transformer Oil as per IS 335,6300,Department of Atomic Energy,01-07-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4943932,Technical Evaluated
GEM/2023/B/3547652,4875483,,GEM/2023/B/3547652,"Casing 5.1/2"" XL-80X20 PPF, Premium Thread,5.1/2"" X20 PPF X L-80 Casing change nipple (P),5.1/2"" X ",7021,OIL INDIA Limited,09-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4875483,Technical Evaluated
GEM/2023/B/3621672,4955472,,GEM/2023/B/3621672,hot or cold water dispenser,1,Department of Atomic Energy,28-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4955472,Technical Evaluated
GEM/2023/B/3636506,4971612,,GEM/2023/B/3636506,"Mirchi Powder,Haldi Powder,Dhaniya Powder,Jeera Sabut,Sabut Mirch,Sarso,Dal Chini,Badi Elaichi,Vine",289,Department of Military Affairs,01-07-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4971612,Technical Evaluated
GEM/2023/B/3545977,4873672,,GEM/2023/B/3545977,Custom Bid for Services - Repair of LVDT Strg Cylinder,1,Department of Military Affairs,22-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4873672,Technical Evaluated
GEM/2023/B/3521526,4847302,,GEM/2023/B/3521526,Supply of ROTARY SELECTOR SWITCH 2 POLE 2 WAY 16A as Per Enquiry cum Offer Item Sr no 10 and Tender,320,INDIAN OIL CORPORATION LIMITED,02-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4847302,Technical Evaluated
GEM/2023/B/3548693,4876592,,GEM/2023/B/3548693,Return Idler Garlands For 2000mm Conveyor,3912,Materials Management,09-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4876592,Technical Evaluated
GEM/2023/B/3513420,4838610,,GEM/2023/B/3513420,"4,27,33,06,42,73,31,64,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,000",2070,NA,31-05-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4838610,Technical Evaluated
GEM/2023/B/3636918,4972062,,GEM/2023/B/3636918,"Power Contactors as per IS 13947 4 1,KIT FOR Power Contactors as per IS 13947 4 1,COIL FOR Power Co",74,EASTERN COALFIELDS Limited,01-07-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4972062,Technical Evaluated
GEM/2023/B/3627228,4961461,,GEM/2023/B/3627228,"Synthetic Tarpaulin Size 24ft X 18ft water proof,Synthetic Tarpaulin Size 18ft X 12ft water proof,S",50,INDIAN OIL CORPORATION LIMITED,29-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4961461,Technical Evaluated
GEM/2023/B/3620867,4954603,,GEM/2023/B/3620867,"Handling and Transport on Lumpsum Basis - Transport Service,Handling and Transport on Lumpsum Basis",2,Department of Fertilizers,27-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4954603,Technical Evaluated
GEM/2023/B/3598401,4930278,,GEM/2023/B/3598401,"K-TYPE THERMOCOUPLE EXTENSION CABLE 1 PAIR AS PER SPEC.,K-TYPE THERMOCOUPLE EXTENSION CABLE 2 PAIR ",6000,Materials Management,21-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4930278,Technical Evaluated
GEM/2023/B/3603030,4935215,,GEM/2023/B/3603030,"9060160025,9020130055,9020110045,9050110045,9060180105,9030130045,9060170185,9050110055,9030140075,",22223,Department of Defence Production,22-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4935215,Technical Evaluated
GEM/2023/B/3601226,4933305,,GEM/2023/B/3601226,"9016110145,9060170095,9030130065,9040160015,9030110025,9060170085,9050110025,9050110035,9060110015,",20140,Department of Defence Production,22-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4933305,Technical Evaluated
GEM/2023/B/3599684,4931636,,GEM/2023/B/3599684,Online UPS (V2),1,Central Armed Police Forces,22-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4931636,Technical Evaluated
GEM/2023/B/3567734,4897138,,GEM/2023/B/3567734,LV2 ICVS PD-IT-1-5MPA-K2 PRESURE SENDING UNIT TY 25-02-110461-85,901,Department of Military Affairs,20-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4897138,Technical Evaluated
GEM/2023/B/3638855,4974201,,GEM/2023/B/3638855,As per Buyer Specification SSL,858,Rural Development and Panchayats Department Jammu and Kashmir,02-07-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4974201,Technical Evaluated
GEM/2023/B/3600707,4932756,,GEM/2023/B/3600707,"9010110045,9060110125,9010110065,9010110055,9015170015,9030140035,9060170055,9060110155,9015150035,",37799,Department of Defence Production,22-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4932756,Technical Evaluated
GEM/2023/B/3597377,4929163,,GEM/2023/B/3597377,Manpower Outsourcing Services - Minimum wage - Unskilled; Others; Office Peon,3,Finance Department Gujarat,21-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4929163,Technical Evaluated
GEM/2023/B/3626870,4961076,,GEM/2023/B/3626870,Copper Band Blank as pre OFC drg. No. SK-10093,31500,Department of Defence Production,28-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4961076,Technical Evaluated
GEM/2023/B/3638508,4973831,,GEM/2023/B/3638508,"AIR CONDITIONER WINDOW,STABILIZER",2,Central Armed Police Forces,02-07-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4973831,Technical Evaluated
GEM/2023/B/3557748,4886370,,GEM/2023/B/3557748,High Temperature High Cycle Fatigue and Fatigue Crack Growth Testing Machine as per specification,1,Department of Atomic Energy,20-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4886370,Technical Evaluated
GEM/2023/B/3621508,4955284,,GEM/2023/B/3621508,Multipara Monitor - Low End,10,Department of Health and Family Welfare,28-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4955284,Technical Evaluated
GEM/2023/B/3620808,4954542,,GEM/2023/B/3620808,Comprehensive Annual Maintenance Services for Precision Air Conditioners,5,Department of Atomic Energy,27-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4954542,Technical Evaluated
GEM/2023/B/3616886,4950278,,GEM/2023/B/3616886,"Catering service (Duration Based) - Veg; Snacks/High Tea; Regular High Tea,Catering service (Durati",320,Revenue and Forest Department Maharashtra,27-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4950278,Technical Evaluated
GEM/2023/B/3606425,4938857,,GEM/2023/B/3606425,Empty nitrogen cylinder for NTPC Nabinagar,30,NA,26-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4938857,Technical Evaluated
GEM/2023/B/3598138,4929994,,GEM/2023/B/3598138,REPAIR OF LED PANEL 55'' FOR DATAWALL,1,Department of Military Affairs,21-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4929994,Technical Evaluated
GEM/2023/B/3598075,4929929,,GEM/2023/B/3598075,"RU9003304025 RUBBER PACKER -CHLOROPRENE, SIZE: 6TKXD90, Drg. No. RST0411,RU9003304033 RUBBER PACKER",9000,Department of Heavy Industry,21-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4929929,Technical Evaluated
GEM/2023/B/3597922,4929763,,GEM/2023/B/3597922,"Drinking Water Coolers With Built In Water Purifiction System (Uv Or Ro),Drinking Water Coolers Wit",7,Technical Education Department Himachal Pradesh,21-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4929763,Technical Evaluated
GEM/2023/B/3595844,4927538,,GEM/2023/B/3595844,Monthly Basis Cab & Taxi Hiring Services - MUV; 2500 KM PER MONTH AND 30000 CUMMULATIVE KM PER YEAR,1,NA,21-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4927538,Technical Evaluated
GEM/2023/B/3594391,4925951,,GEM/2023/B/3594391,"Handling ,Transport and Other Mining Services - Percentage quote based - Regular HTC work from RH L",1,Department of Food and Public Distribution,20-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4925951,Technical Evaluated
GEM/2023/B/3593508,4925010,,GEM/2023/B/3593508,Antgen Retrieval System for IHC,1,Medical Education Department Uttar Pradesh,20-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4925010,Technical Evaluated
GEM/2022/B/2515785,3766080,,GEM/2022/B/2515785,Various types of mannequin for Simulation Lab,1,Department of Health and Family Welfare,08-09-2022,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/3766080,Technical Evaluated
GEM/2023/B/3597773,4929597,,GEM/2023/B/3597773,Material Platform Push Trolley- Two Part Assembly,15,Mumbai Metropolitan Region Development Authority (MMRDA),21-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4929597,Technical Evaluated
GEM/2023/B/3598607,4930501,,GEM/2023/B/3598607,"M S Plate 16 mm,M S Plate 10 mm,M S Plate 8 mm,M S Round Rod,M S Flat Bar 75x8,M S Flat Bar 65x8,M ",9270,NA,21-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4930501,Technical Evaluated
GEM/2023/B/3625941,4960095,,GEM/2023/B/3625941,Custom Bid for Services - Tender for Providing Catering Services,1,Department of Financial Services,28-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4960095,Technical Evaluated
GEM/2023/B/3585884,4916719,,GEM/2023/B/3585884,MILL DOOR CHAMBER ARMOURING PLATES,300,Materials Management,21-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4916719,Technical Evaluated
GEM/2023/B/3583422,4914046,,GEM/2023/B/3583422,Manpower Outsourcing Services - Minimum wage - Highly-Skilled; Others; Carpenter Mason Supervisor e,17,Department of Higher Education,30-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4914046,Technical Evaluated
GEM/2023/B/3588266,4919296,,GEM/2023/B/3588266,Steel Body Evaporative Coolers - Desert Cooler,113,NA,21-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4919296,Technical Evaluated
GEM/2023/B/3597732,4929550,,GEM/2023/B/3597732,Lab consumables,1,Department of Pharmaceuticals,21-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4929550,Technical Evaluated
GEM/2023/B/3596340,4928069,,GEM/2023/B/3596340,Split Air Conditioner Including Green AC (V3),4,SJVN Limited,21-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4928069,Technical Evaluated
GEM/2023/B/3561737,4890747,,GEM/2023/B/3561737,DSLR Mounted Digital Microscope,1,Agriculture and Co-operation Department Gujarat,28-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4890747,Technical Evaluated
GEM/2023/B/3561706,4890713,,GEM/2023/B/3561706,"O M services,O M services,O M services,O M services,O M services,O M services,O M services,O M serv",1020,INDIAN OIL CORPORATION LIMITED,15-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4890713,Technical Evaluated
GEM/2023/B/3551269,4879339,,GEM/2023/B/3551269,RIM FORGING TO DRG NO 675 73 270 FULLY MACHINED AND FINISHED CONDITION AS PER DRAWING,103,Department of Defence Production,21-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4879339,Technical Evaluated
GEM/2023/B/3549453,4877383,,GEM/2023/B/3549453,Pest and Animal Control Service - Maintenance Contract; 1 month; Rodent Control,100000,Department of Higher Education,09-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4877383,Technical Evaluated
GEM/2023/B/3544572,4872151,,GEM/2023/B/3544572,"Individual kit for collection of blood sample for DNA Profiling (consist of FTA Card, all weather p",2200,Department of Military Affairs,24-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4872151,Technical Evaluated
GEM/2023/B/3617769,4951229,,GEM/2023/B/3617769,Custom Bid for Services - Hiring of 6 Nos of 40 feet Single or Double Axle Flat Bed Articulated Tra,1,Department of Heavy Industry,30-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4951229,Technical Evaluated
GEM/2023/B/3616973,4950373,,GEM/2023/B/3616973,"M1031058057_ SOLVENT CEMENT-CPVC 724,M1031058066_ SOLVENT CEMENT-PRIMER",90,NA,27-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4950373,Technical Evaluated
GEM/2023/B/3474991,4797200,,GEM/2023/B/3474991,Portland-Pozzolana Cement (fly ash based)for bulk buying as per IS:1489 (Part 1),450,NA,23-05-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4797200,Technical Evaluated
GEM/2023/B/3637742,4972949,,GEM/2023/B/3637742,Custom Bid for Services - ASSISTANCE IN CES WORKS,1,Steel Authority of India Limited,01-07-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4972949,Technical Evaluated
GEM/2023/B/3570155,4899709,,GEM/2023/B/3570155,Custom Bid for Services - Rate Contract for Binding Works at Indian Oil Bhawan Noida,1,INDIAN OIL CORPORATION LIMITED,14-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4899709,Technical Evaluated
GEM/2023/B/3375106,4689263,,GEM/2023/B/3375106,Nitrogen Gas,600,INDIAN OIL CORPORATION LIMITED,21-04-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4689263,Technical Evaluated
GEM/2023/B/3638917,4974268,,GEM/2023/B/3638917,"CUSTOMIZED WOODEN CHAIR,CUSTOMIZED CONSOLE TABLE,CUSTOMIZED CONFERENCE TABLE,CUSTOMIZED EXECUTIVE T",7,Department of Military Affairs,02-07-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4974268,Technical Evaluated
GEM/2023/B/3634739,4969684,,GEM/2023/B/3634739,Manpower Outsourcing Services - Fixed Remuneration - OUTSOURCED INSTRUCTOR; OUTSOURCED INSTRUCTOR; ,138,Vocational Education and Skill Development Department Uttar Pradesh,30-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4969684,Technical Evaluated
GEM/2023/B/3630234,4964758,,GEM/2023/B/3630234,"43382-Box Spanner,43383-Box Spanner,43128-Hack Saw Blade",4110,Ports and Transport Department Gujarat,29-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4964758,Technical Evaluated
GEM/2023/B/3620186,4953892,,GEM/2023/B/3620186,"AMC / CMC of Fire Detection, Fire Alarm, Fire Hydrant and Sprinkler System",12,NA,27-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4953892,Technical Evaluated
GEM/2023/B/3597858,4929693,,GEM/2023/B/3597858,"Ru9003317011 Insulator Base Plate Stainless Steel, Drg No. Rst0450, Specification Aa10724,Ru9003317",1200,Department of Heavy Industry,21-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4929693,Technical Evaluated
GEM/2023/B/3597816,4929643,,GEM/2023/B/3597816,Rack Mounted 1KVA UPS,20,Department of Defence Research & Development,21-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4929643,Technical Evaluated
GEM/2023/B/3596053,4927760,,GEM/2023/B/3596053,"Type-I CNG Mobile Cascade,Type-IV CNG Mobile Cascade",140430,Bharat Petroleum Corporation Ltd,21-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4927760,Technical Evaluated
GEM/2023/B/3597678,4929490,,GEM/2023/B/3597678,"Stainless Steel Pole Mounted Stainless Steel Dustbin,Steel Dustbin Fixing and maintenance",197,Urban Development Department Uttar Pradesh,21-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4929490,Technical Evaluated
GEM/2023/B/3596614,4928355,,GEM/2023/B/3596614,Manpower Outsourcing Services - Minimum wage - Highly-Skilled; Admin; Administrative Operator or Of,2,Airports Authority of India (AAI),21-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4928355,Technical Evaluated
GEM/2023/B/3638906,4974257,,GEM/2023/B/3638906,"BIKE HELMENT,CAR DIARY,EXPENDING TRIO FILE,A4 PAPER,SILVER SMALL PLATE,HEATER,CARD PRINTED,CAR FLAG",237,Department of Military Affairs,04-07-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4974257,Technical Evaluated
GEM/2023/B/3607167,4939626,,GEM/2023/B/3607167,Computer Printers,2,Department of Atomic Energy,30-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4939626,Technical Evaluated
GEM/2023/B/3539855,4867081,,GEM/2023/B/3539855,Custom Bid for Services - Appointment Of Consultant For Power Transactions,1,NA,07-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4867081,Technical Evaluated
GEM/2023/B/3621572,4955357,,GEM/2023/B/3621572,"Local Chemist Empanelment Service,Local Chemist Empanelment Service,Local Chemist Empanelment Servi",35000000,Health and Family Welfare Department Delhi,30-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4955357,Technical Evaluated
GEM/2023/B/3620304,4954015,,GEM/2023/B/3620304,Laundry Service - Healthcare purpose,3000,Health and Family Welfare Department Delhi,28-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4954015,Technical Evaluated
GEM/2023/B/3618107,4951595,,GEM/2023/B/3618107,Digital Pressure Transmitter,25,Department of Atomic Energy,28-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4951595,Technical Evaluated
GEM/2023/B/3599587,4931534,,GEM/2023/B/3599587,"52225-Slotted CSK Head Machine Screw,52228-Slotted CSK Head Machine Screw,52232-CSK Machine SCREW,5",1254420,Ports and Transport Department Gujarat,21-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4931534,Technical Evaluated
GEM/2023/B/3594125,4925665,,GEM/2023/B/3594125,20pair Jelly filledTelephone Cable,5300,Railways,21-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4925665,Technical Evaluated
GEM/2023/B/3589240,4920345,,GEM/2023/B/3589240,Manpower Outsourcing Services - Fixed Remuneration - As per Scope of Work; As per Scope of Work; As,147,Procurement Cell Corporate Office NCRTC,27-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4920345,Technical Evaluated
GEM/2023/B/3588740,4919799,,GEM/2023/B/3588740,"Custom Bid for Services - Repair of 02 Nos of IBM 3590 tape drives,Custom Bid for Services - Post r",2,NA,21-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4919799,Technical Evaluated
GEM/2023/B/3576745,4906827,,GEM/2023/B/3576745,"67.99.44.080.5 SENSOR MOTOR,67.00.00.295.8 NETWORK INFRA,INSTALLATION AND COMMISSIONING",12,Bharat Petroleum Corporation Ltd,16-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4906827,Technical Evaluated
GEM/2023/B/3574039,4903902,,GEM/2023/B/3574039,Restaurant Chair,40,Department of Heavy Industry,23-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4903902,Technical Evaluated
GEM/2023/B/3567254,4896628,,GEM/2023/B/3567254,Custom Bid for Services - Providing making and supply of Stemming stick mud plugs of required size ,1,MOIL Limited,14-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4896628,Technical Evaluated
GEM/2023/B/3615423,4948694,,GEM/2023/B/3615423,"1000000687 BEARING ISOLATOR, SIZE: 75MM OD X 60MM ID X 15MM WIDTH.",8,Materials Department,27-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4948694,Technical Evaluated
GEM/2023/B/3600087,4932091,,GEM/2023/B/3600087,"MS CHANNEL 1OOMM X 50MM X 6MM,MS CHANNE L 75 X 40 X 5,MS ANGLE ISA6565 65 x 65 x 6,MS A NGLE 50X50X",7508,NA,27-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4932091,Technical Evaluated
GEM/2023/B/3633909,4968778,,GEM/2023/B/3633909,Desktop Computers,4,NA,30-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4968778,Technical Evaluated
GEM/2023/B/3631455,4966079,,GEM/2023/B/3631455,"Material Code-962740381100 Description-ACTR K1000 96RPM IS CEPT Spec No SPEC-AC-001 Rev-08,Material",2,Department of Heavy Industry,01-07-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4966079,Technical Evaluated
GEM/2023/B/3625259,4959373,,GEM/2023/B/3625259,Air Operated Double Diaphragm Pumps,10,INDIAN OIL CORPORATION LIMITED,28-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4959373,Technical Evaluated
GEM/2023/B/3625055,4959159,,GEM/2023/B/3625055,"9515327 SAFETY BELTS,9515291 JACKET TYPE SAFETY BELTS,9515329 SAFETY NETS,9515330 INDUSTRIAL SAFETY",113,Department of Atomic Energy,28-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4959159,Technical Evaluated
GEM/2023/B/3621486,4955259,,GEM/2023/B/3621486,"Manpower Outsourcing Services - Fixed Remuneration - Admin; Data Entry Operator; Graduate,Manpower ",41,Revenue Department Uttar Pradesh,27-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4955259,Technical Evaluated
GEM/2023/B/3602101,4934217,,GEM/2023/B/3602101,"ISI Steel Tubes used for water wells, ERW Pipe 150mm NB (Column Pipe) Wall Thick 7.1mm, 3m length",1375623,Irrigation and Flood Control Department Uttar Pradesh,27-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4934217,Technical Evaluated
GEM/2023/B/3599223,4931145,,GEM/2023/B/3599223,"SUPPLY OF OFF GRID SOLAR POWERED ACTUATOR CONTROL SYSTEM AT SV 6 A,INSTALLATION AND COMMISSIONING O",44,Bharat Petroleum Corporation Ltd,21-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4931145,Technical Evaluated
GEM/2023/B/3590595,4921896,,GEM/2023/B/3590595,interactive panels and accessories,1,NA,21-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4921896,Technical Evaluated
GEM/2023/B/3587771,4918768,,GEM/2023/B/3587771,"HS748-14207,HS748-14208,HS748-14210,HS748-14212",215,Department of Defence Production,19-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4918768,Technical Evaluated
GEM/2023/B/3636062,4971145,,GEM/2023/B/3636062,"Supply of PCC Pole and ACSR weasel conductor for 11 KV Line in Nawa Kyar,Supply of PCC Pole and ACS",3075,Department of Heavy Industry,02-07-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4971145,Technical Evaluated
GEM/2023/B/3631862,4966527,,GEM/2023/B/3631862,Jaggery as per IS 12923,587,"Social Welfare Department, Andaman & Nicobar",30-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4966527,Technical Evaluated
GEM/2023/B/3597988,4929831,,GEM/2023/B/3597988,"25.55.07.022.5,25.55.07.021.5,25.55.13.194.7,25.55.98.196.5,25.55.98.904.5,25.55.98.905.5,25.55.13.",195,Bharat Petroleum Corporation Ltd,21-06-2023,12-07-2023,https://bidplus.gem.gov.in/showbidDocument/4929831,Technical Evaluated
