"key","bid","bid_no","ra_no","items","quantity","department","startdate","enddate","document","status"
"GEM/2018/B/10221",71660,"","GEM/2018/B/10221","sofa set tubular steel",13,"Education Department Chandigarh","2018-05-09","2018-05-21","https://bidplus.gem.gov.in/showbidDocument/71660","Financial Evaluated"
"GEM/2018/B/10237",71772,"","GEM/2018/B/10237","Human Resource Service",3,"Department of Revenue","2018-05-09","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/71772","Financial Evaluated"
"GEM/2018/B/1024",7267,"","GEM/2018/B/1024","Notebook Computers-laptop",1,"Department of Telecommunications (DOT)","2018-04-18","2018-05-04","https://bidplus.gem.gov.in/showbidDocument/7267","Financial Evaluated"
"GEM/2018/B/10254",71891,"","GEM/2018/B/10254","Router",2,"NA","2018-05-09","2018-05-22","https://bidplus.gem.gov.in/showbidDocument/71891","Financial Evaluated"
"GEM/2018/B/1027",7288,"","GEM/2018/B/1027","Online UPS",1,"NA","2018-04-18","2018-05-04","https://bidplus.gem.gov.in/showbidDocument/7288","Financial Evaluated"
"GEM/2018/B/10420",73053,"","GEM/2018/B/10420","Packaged Drinking Water Service",2,"Department of Revenue","2018-05-09","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/73053","Financial Evaluated"
"GEM/2018/B/10438",73179,"","GEM/2018/B/10438","Drinking Water Cooler",45,"Energy Department Uttar Pradesh","2018-05-21","2018-05-31","https://bidplus.gem.gov.in/showbidDocument/73179","Financial Evaluated"
"GEM/2018/B/10442",73207,"","GEM/2018/B/10442","Visual Presenters",5,"Department of Defence","2018-05-09","2018-05-19","https://bidplus.gem.gov.in/showbidDocument/73207","Financial Evaluated"
"GEM/2018/B/10491",73550,"","GEM/2018/B/10491","Smart Phone with MDM/EMM/SDK",650,"Department of Posts","2018-05-09","2018-05-20","https://bidplus.gem.gov.in/showbidDocument/73550","Financial Evaluated"
"GEM/2018/B/1059",7512,"","GEM/2018/B/1059","Desktops",6,"Department of Atomic Energy","2018-04-18","2018-05-04","https://bidplus.gem.gov.in/showbidDocument/7512","Financial Evaluated"
"GEM/2018/B/10596",74285,"","GEM/2018/B/10596","Multifunction Machines",2,"Department of Revenue","2018-05-11","2018-05-21","https://bidplus.gem.gov.in/showbidDocument/74285","Financial Evaluated"
"GEM/2018/B/10631",74530,"","GEM/2018/B/10631","Air Conditioner",1,"NA","2018-05-09","2018-05-21","https://bidplus.gem.gov.in/showbidDocument/74530","Financial Evaluated"
"GEM/2018/B/10646",74635,"","GEM/2018/B/10646","Human Resource Service",50,"Health and Family Welfare Department Delhi","2018-05-10","2018-05-22","https://bidplus.gem.gov.in/showbidDocument/74635","Financial Evaluated"
"GEM/2018/B/1067",7568,"","GEM/2018/B/1067","Multimedia Projectors",1,"Department of Higher Education","2018-04-18","2018-05-04","https://bidplus.gem.gov.in/showbidDocument/7568","Financial Evaluated"
"GEM/2018/B/10739",75286,"","GEM/2018/B/10739","Multifunction Machines",1,"Department of Revenue","2018-05-09","2018-05-25","https://bidplus.gem.gov.in/showbidDocument/75286","Financial Evaluated"
"GEM/2018/B/10755",75398,"","GEM/2018/B/10755","Layer 2 Access Switch",2,"Higher and Technical Education Department Maharashtra","2018-05-10","2018-05-22","https://bidplus.gem.gov.in/showbidDocument/75398","Financial Evaluated"
"GEM/2018/B/10791",75650,"","GEM/2018/B/10791","Human Resource Service",1,"Department of Agricultural Research and Education (DARE)","2018-05-10","2018-05-10","https://bidplus.gem.gov.in/showbidDocument/75650","Financial Evaluated"
"GEM/2018/B/10799",75706,"","GEM/2018/B/10799","hdpe pipes for water supply",2000,"Department of Industrial Policy and Promotion","2018-05-10","2018-05-21","https://bidplus.gem.gov.in/showbidDocument/75706","Financial Evaluated"
"GEM/2018/B/10801",75720,"","GEM/2018/B/10801","OEM Cartridge",25,"NA","2018-05-10","2018-05-20","https://bidplus.gem.gov.in/showbidDocument/75720","Financial Evaluated"
"GEM/2018/B/10805",75748,"","GEM/2018/B/10805","OEM Cartridge",25,"NA","2018-05-10","2018-05-20","https://bidplus.gem.gov.in/showbidDocument/75748","Financial Evaluated"
"GEM/2018/B/1085",7694,"","GEM/2018/B/1085","Wireless Controller,Wireless Access Point,Layer 2 Access Switch,Authentication, Authorization and Ac",267,"NA","2018-04-18","2018-05-04","https://bidplus.gem.gov.in/showbidDocument/7694","Financial Evaluated"
"GEM/2018/B/10889",76336,"","GEM/2018/B/10889","Digital Transceiver-MOBILE RADIO",1029,"Central Armed Police Forces","2018-05-10","2018-05-21","https://bidplus.gem.gov.in/showbidDocument/76336","Financial Evaluated"
"GEM/2018/B/1092",7743,"","GEM/2018/B/1092","binding punch machine",1,"NA","2018-04-18","2018-05-04","https://bidplus.gem.gov.in/showbidDocument/7743","Financial Evaluated"
"GEM/2018/B/10935",76658,"","GEM/2018/B/10935","Multifunction Machines",1,"NA","2018-05-10","2018-05-20","https://bidplus.gem.gov.in/showbidDocument/76658","Financial Evaluated"
"GEM/2018/B/10939",76686,"","GEM/2018/B/10939","Executive Table",1,"NA","2018-05-10","2018-05-22","https://bidplus.gem.gov.in/showbidDocument/76686","Financial Evaluated"
"GEM/2018/B/10951",76770,"","GEM/2018/B/10951","computer workstation",25,"MADHYA PRADESH","2018-05-10","2018-05-20","https://bidplus.gem.gov.in/showbidDocument/76770","Financial Evaluated"
"GEM/2018/B/1098",7785,"","GEM/2018/B/1098","Notebook Computers-laptop",1,"Department of Atomic Energy","2018-04-18","2018-05-04","https://bidplus.gem.gov.in/showbidDocument/7785","Financial Evaluated"
"GEM/2018/B/11051",77470,"","GEM/2018/B/11051","Drinking Water Cooler",2,"Department of Telecommunications (DOT)","2018-05-10","2018-05-20","https://bidplus.gem.gov.in/showbidDocument/77470","Financial Evaluated"
"GEM/2018/B/1109",7862,"","GEM/2018/B/1109","OEM Cartridge",1,"NA","2018-04-18","2018-05-04","https://bidplus.gem.gov.in/showbidDocument/7862","Financial Evaluated"
"GEM/2018/B/1114",7897,"","GEM/2018/B/1114","All in one",56,"Ministry of Finance","2018-04-18","2018-05-04","https://bidplus.gem.gov.in/showbidDocument/7897","Financial Evaluated"
"GEM/2018/B/11151",78170,"","GEM/2018/B/11151","Air Boat  as per GSDRF specification",5,"Revenue Department Gujarat","2018-05-10","2018-05-30","https://bidplus.gem.gov.in/showbidDocument/78170","Financial Evaluated"
"GEM/2018/B/11189",78436,"","GEM/2018/B/11189","anklet synthetic black",78401,"Central Armed Police Forces","2018-05-10","2018-05-25","https://bidplus.gem.gov.in/showbidDocument/78436","Financial Evaluated"
"GEM/2018/B/11196",78485,"","GEM/2018/B/11196","Human Resource Service",55,"Department of Scientific and Industrial Research (DSIR)","2018-05-10","2018-05-20","https://bidplus.gem.gov.in/showbidDocument/78485","Financial Evaluated"
"GEM/2018/B/1121",7946,"","GEM/2018/B/1121","OEM Cartridge",1,"NA","2018-04-18","2018-05-04","https://bidplus.gem.gov.in/showbidDocument/7946","Financial Evaluated"
"GEM/2018/B/11230",78723,"","GEM/2018/B/11230","Notebook Computers-laptop",2,"Ministry of Communications","2018-05-10","2018-05-21","https://bidplus.gem.gov.in/showbidDocument/78723","Financial Evaluated"
"GEM/2018/B/11265",78968,"","GEM/2018/B/11265","nebulizer mask and accessories",20,"Department of Health and Family Welfare","2018-05-10","2018-05-20","https://bidplus.gem.gov.in/showbidDocument/78968","Financial Evaluated"
"GEM/2018/B/11339",79486,"","GEM/2018/B/11339","diesel generators- DG Sets",3,"Central Armed Police Forces","2018-05-11","2018-05-23","https://bidplus.gem.gov.in/showbidDocument/79486","Financial Evaluated"
"GEM/2018/B/11389",79836,"","GEM/2018/B/11389","OEM Ribbon Cartridge",4,"Department of Defence","2018-05-10","2018-05-25","https://bidplus.gem.gov.in/showbidDocument/79836","Financial Evaluated"
"GEM/2018/B/11397",79892,"","GEM/2018/B/11397","LED Luminaire (for Flood Light)",40,"NA","2018-05-10","2018-05-22","https://bidplus.gem.gov.in/showbidDocument/79892","Financial Evaluated"
"GEM/2018/B/11412",79997,"","GEM/2018/B/11412","Air Conditioner",1,"HARYANA","2018-05-11","2018-05-21","https://bidplus.gem.gov.in/showbidDocument/79997","Financial Evaluated"
"GEM/2018/B/11449",80256,"","GEM/2018/B/11449","Foolscap sheets",300,"Chandigarh Housing Board","2018-05-11","2018-05-31","https://bidplus.gem.gov.in/showbidDocument/80256","Financial Evaluated"
"GEM/2018/B/11496",80585,"","GEM/2018/B/11496","Firewall",1,"Department of Defence","2018-05-19","2018-05-31","https://bidplus.gem.gov.in/showbidDocument/80585","Financial Evaluated"
"GEM/2018/B/1150",8149,"","GEM/2018/B/1150","OEM Cartridge",1,"NA","2018-04-18","2018-05-04","https://bidplus.gem.gov.in/showbidDocument/8149","Financial Evaluated"
"GEM/2018/B/11503",80634,"","GEM/2018/B/11503","Digital Transreceiver-Handheld",1671,"Central Armed Police Forces","2018-05-11","2018-05-23","https://bidplus.gem.gov.in/showbidDocument/80634","Financial Evaluated"
"GEM/2018/B/11516",80725,"","GEM/2018/B/11516","Desktops",38,"Planning Department Maharashtra","2018-05-11","2018-05-28","https://bidplus.gem.gov.in/showbidDocument/80725","Financial Evaluated"
"GEM/2018/B/11533",80844,"","GEM/2018/B/11533","sewing machine",1,"NA","2018-05-11","2018-05-23","https://bidplus.gem.gov.in/showbidDocument/80844","Financial Evaluated"
"GEM/2018/B/11543",80914,"","GEM/2018/B/11543","Drinking Water Cooler",1,"Department of Higher Education","2018-05-11","2018-05-22","https://bidplus.gem.gov.in/showbidDocument/80914","Financial Evaluated"
"GEM/2018/B/11576",81145,"","GEM/2018/B/11576","Executive Table",1,"NA","2018-05-11","2018-05-21","https://bidplus.gem.gov.in/showbidDocument/81145","Financial Evaluated"
"GEM/2018/B/11589",81236,"","GEM/2018/B/11589","Plastic  Body Evaporative Coolers-DESERT COOLER",15,"NA","2018-05-11","2018-05-21","https://bidplus.gem.gov.in/showbidDocument/81236","Financial Evaluated"
"GEM/2018/B/11612",81397,"","GEM/2018/B/11612","Printer",1,"Contracts and Materials","2018-05-11","2018-05-22","https://bidplus.gem.gov.in/showbidDocument/81397","Financial Evaluated"
"GEM/2018/B/11628",81509,"","GEM/2018/B/11628","Security Manpower Service",16,"Information Technology Department Chandigarh","2018-05-11","2018-05-23","https://bidplus.gem.gov.in/showbidDocument/81509","Financial Evaluated"
"GEM/2018/B/11629",81516,"","GEM/2018/B/11629","Desktops",3,"N/A","2018-05-16","2018-05-26","https://bidplus.gem.gov.in/showbidDocument/81516","Financial Evaluated"
"GEM/2018/B/1164",8247,"","GEM/2018/B/1164","Air Conditioner",6,"Panchayat and Rural Development Department Chhattisgarh","2018-04-18","2018-05-04","https://bidplus.gem.gov.in/showbidDocument/8247","Financial Evaluated"
"GEM/2018/B/11704",82041,"","GEM/2018/B/11704","Cleaning and Sanitation Service",377321,"Health and Family Welfare Department Delhi","2018-05-11","2018-05-22","https://bidplus.gem.gov.in/showbidDocument/82041","Financial Evaluated"
"GEM/2018/B/11718",82139,"","GEM/2018/B/11718","lamp sockets lamp holder",1000,"Urban Development and Environment Department","2018-05-11","2018-05-22","https://bidplus.gem.gov.in/showbidDocument/82139","Financial Evaluated"
"GEM/2018/B/11724",82181,"","GEM/2018/B/11724","Multimedia Projectors",102,"Higher and Technical Education Department Maharashtra","2018-06-19","2018-06-27","https://bidplus.gem.gov.in/showbidDocument/82181","Financial Evaluated"
"GEM/2018/B/11748",82349,"","GEM/2018/B/11748","Air Conditioner",12,"Energy Department Madhya Pradesh","2018-05-11","2018-05-22","https://bidplus.gem.gov.in/showbidDocument/82349","Financial Evaluated"
"GEM/2018/B/11797",82692,"","GEM/2018/B/11797","Desktops",34,"Ministry of Defence","2018-05-11","2018-05-25","https://bidplus.gem.gov.in/showbidDocument/82692","Financial Evaluated"
"GEM/2018/B/11831",82930,"","GEM/2018/B/11831","Cleaning and Sanitation Service",1303000,"Training and Technical Education Department Delhi","2018-05-11","2018-05-22","https://bidplus.gem.gov.in/showbidDocument/82930","Financial Evaluated"
"GEM/2018/B/11834",82951,"","GEM/2018/B/11834","Foolscap sheets",200,"Department of Revenue","2018-05-11","2018-05-21","https://bidplus.gem.gov.in/showbidDocument/82951","Financial Evaluated"
"GEM/2018/B/11851",83070,"","GEM/2018/B/11851","peak cap",50,"NA","2018-05-11","2018-05-22","https://bidplus.gem.gov.in/showbidDocument/83070","Financial Evaluated"
"GEM/2018/B/1187",8408,"","GEM/2018/B/1187","OEM Cartridge",15,"Department of Revenue","2018-04-18","2018-05-04","https://bidplus.gem.gov.in/showbidDocument/8408","Financial Evaluated"
"GEM/2018/B/1188",8415,"","GEM/2018/B/1188","OEM Cartridge",2,"NA","2018-04-18","2018-05-04","https://bidplus.gem.gov.in/showbidDocument/8415","Financial Evaluated"
"GEM/2018/B/11884",83301,"","GEM/2018/B/11884","cotton tape newar",571823,"Central Armed Police Forces","2018-05-11","2018-05-28","https://bidplus.gem.gov.in/showbidDocument/83301","Financial Evaluated"
"GEM/2018/B/1198",8485,"","GEM/2018/B/1198","OEM Cartridge",4,"Department of Revenue","2018-04-18","2018-05-04","https://bidplus.gem.gov.in/showbidDocument/8485","Financial Evaluated"
"GEM/2018/B/12043",84414,"","GEM/2018/B/12043","FIXED CAPACITORS (FIXED CAPACITOR FOR SINGLE PHASE AC ELECTRIC FAN)",3500,"NA","2018-05-12","2018-05-22","https://bidplus.gem.gov.in/showbidDocument/84414","Financial Evaluated"
"GEM/2018/B/12097",84792,"","GEM/2018/B/12097","Desktops",2,"Department of Defence","2018-05-12","2018-05-23","https://bidplus.gem.gov.in/showbidDocument/84792","Financial Evaluated"
"GEM/2018/B/12122",84967,"","GEM/2018/B/12122","Multifunction Machines",1,"Department of Defence","2018-05-12","2018-05-22","https://bidplus.gem.gov.in/showbidDocument/84967","Financial Evaluated"
"GEM/2018/B/12126",84995,"","GEM/2018/B/12126","Line Intractive UPS with AVR",16,"Department of Defence","2018-05-12","2018-05-22","https://bidplus.gem.gov.in/showbidDocument/84995","Financial Evaluated"
"GEM/2018/B/12129",85016,"","GEM/2018/B/12129","telecommunication cable",1525,"Department of Defence","2018-05-12","2018-05-22","https://bidplus.gem.gov.in/showbidDocument/85016","Financial Evaluated"
"GEM/2018/B/1213",8590,"","GEM/2018/B/1213","OEM Cartridge",1,"NA","2018-04-18","2018-05-04","https://bidplus.gem.gov.in/showbidDocument/8590","Financial Evaluated"
"GEM/2018/B/12137",85072,"","GEM/2018/B/12137","diesel generators- DG Sets",2,"Social Welfare Department Andhra Pradesh","2018-05-12","2018-05-23","https://bidplus.gem.gov.in/showbidDocument/85072","Financial Evaluated"
"GEM/2018/B/12234",85751,"","GEM/2018/B/12234","stapler pin",259,"NA","2018-05-14","2018-05-24","https://bidplus.gem.gov.in/showbidDocument/85751","Financial Evaluated"
"GEM/2018/B/12256",85905,"","GEM/2018/B/12256","smart card printer",1,"Department of Defence Research & Development","2018-05-14","2018-05-27","https://bidplus.gem.gov.in/showbidDocument/85905","Financial Evaluated"
"GEM/2018/B/12271",86010,"","GEM/2018/B/12271","galvanized steel sheets",165,"Central Armed Police Forces","2018-05-14","2018-05-31","https://bidplus.gem.gov.in/showbidDocument/86010","Financial Evaluated"
"GEM/2018/B/12316",86325,"","GEM/2018/B/12316","Vehicle Hiring Service",9,"Ministry of Communications","2018-05-14","2018-05-30","https://bidplus.gem.gov.in/showbidDocument/86325","Financial Evaluated"
"GEM/2018/B/12338",86479,"","GEM/2018/B/12338","LED Luminaire (For Road and Street Lights)",12,"Public Works Department Chhattisgarh","2018-05-14","2018-05-24","https://bidplus.gem.gov.in/showbidDocument/86479","Financial Evaluated"
"GEM/2018/B/12371",86710,"","GEM/2018/B/12371","Printer",1,"Department of Defence Research & Development","2018-05-14","2018-05-24","https://bidplus.gem.gov.in/showbidDocument/86710","Financial Evaluated"
"GEM/2018/B/1239",8772,"","GEM/2018/B/1239","OEM Cartridge",1,"NA","2018-04-18","2018-05-04","https://bidplus.gem.gov.in/showbidDocument/8772","Financial Evaluated"
"GEM/2018/B/12402",86927,"","GEM/2018/B/12402","Multifunction Machines",9,"NA","2018-05-14","2018-05-24","https://bidplus.gem.gov.in/showbidDocument/86927","Financial Evaluated"
"GEM/2018/B/12411",86990,"","GEM/2018/B/12411","portable hard disk",1,"Department of Defence","2018-05-14","2018-05-25","https://bidplus.gem.gov.in/showbidDocument/86990","Financial Evaluated"
"GEM/2018/B/12498",87599,"","GEM/2018/B/12498","blood gas analyser",1,"Department of Health and Family Welfare","2018-05-14","2018-05-24","https://bidplus.gem.gov.in/showbidDocument/87599","Financial Evaluated"
"GEM/2018/B/12510",87683,"","GEM/2018/B/12510","SPECTROPHOTOMETER",1,"Department of Health and Family Welfare","2018-05-14","2018-05-24","https://bidplus.gem.gov.in/showbidDocument/87683","Financial Evaluated"
"GEM/2018/B/12592",88257,"","GEM/2018/B/12592","Desktops",5,"Department of Defence","2018-05-15","2018-05-25","https://bidplus.gem.gov.in/showbidDocument/88257","Financial Evaluated"
"GEM/2018/B/12593",88264,"","GEM/2018/B/12593","Printer",7,"Department of Defence","2018-05-15","2018-05-25","https://bidplus.gem.gov.in/showbidDocument/88264","Financial Evaluated"
"GEM/2018/B/12596",88285,"","GEM/2018/B/12596","Multifunction Machines",1,"Department of Defence","2018-05-15","2018-05-25","https://bidplus.gem.gov.in/showbidDocument/88285","Financial Evaluated"
"GEM/2018/B/12616",88425,"","GEM/2018/B/12616","virtualisation cloud software",20,"NA","2018-05-15","2018-05-25","https://bidplus.gem.gov.in/showbidDocument/88425","Financial Evaluated"
"GEM/2018/B/12677",88852,"","GEM/2018/B/12677","Online UPS",3,"Department of Posts","2018-05-15","2018-05-25","https://bidplus.gem.gov.in/showbidDocument/88852","Financial Evaluated"
"GEM/2018/B/12690",88943,"","GEM/2018/B/12690","Online UPS",1,"Department of Posts","2018-05-15","2018-05-25","https://bidplus.gem.gov.in/showbidDocument/88943","Financial Evaluated"
"GEM/2018/B/12704",89041,"","GEM/2018/B/12704","Online UPS",2,"Department of Posts","2018-05-15","2018-05-25","https://bidplus.gem.gov.in/showbidDocument/89041","Financial Evaluated"
"GEM/2018/B/1271",8996,"","GEM/2018/B/1271","sewing machine",5,"Panchayat and Rural Development Department Chhattisgarh","2018-04-18","2018-05-04","https://bidplus.gem.gov.in/showbidDocument/8996","Financial Evaluated"
"GEM/2018/B/12711",89090,"","GEM/2018/B/12711","lead acid battery",200,"Department of Defence","2018-05-15","2018-05-28","https://bidplus.gem.gov.in/showbidDocument/89090","Financial Evaluated"
"GEM/2018/B/12718",89139,"","GEM/2018/B/12718","Plotter Printers ",1,"Department of Defence","2018-05-15","2018-05-25","https://bidplus.gem.gov.in/showbidDocument/89139","Financial Evaluated"
"GEM/2018/B/12786",89615,"","GEM/2018/B/12786","hazardous material decontamination or decontamination and neutralizing agent for chemicals",5,"Department of Home","2018-05-15","2018-05-30","https://bidplus.gem.gov.in/showbidDocument/89615","Financial Evaluated"
"GEM/2018/B/12890",90343,"","GEM/2018/B/12890","insulation tester",2,"NA","2018-05-15","2018-05-25","https://bidplus.gem.gov.in/showbidDocument/90343","Financial Evaluated"
"GEM/2018/B/1291",9136,"","GEM/2018/B/1291","Utility Vehicles",1,"Rural Development & Panchayat Department Andaman","2018-04-18","2018-05-04","https://bidplus.gem.gov.in/showbidDocument/9136","Financial Evaluated"
"GEM/2018/B/12915",90518,"","GEM/2018/B/12915","Human Resource Service",1,"Department of Official Language","2018-05-15","2018-05-25","https://bidplus.gem.gov.in/showbidDocument/90518","Financial Evaluated"
"GEM/2018/B/12919",90546,"","GEM/2018/B/12919","Multifunction Machines",9,"Science and Technology (Information Technology) Department Madhya Pradesh","2018-05-15","2018-05-25","https://bidplus.gem.gov.in/showbidDocument/90546","Financial Evaluated"
"GEM/2018/B/12929",90616,"","GEM/2018/B/12929","Camera for CCTV System",100,"Urban Development Department Uttar Pradesh","2018-05-15","2018-05-25","https://bidplus.gem.gov.in/showbidDocument/90616","Financial Evaluated"
"GEM/2018/B/12960",90833,"","GEM/2018/B/12960","LED Lamps- bulb",400,"Department of Defence","2018-05-15","2018-05-25","https://bidplus.gem.gov.in/showbidDocument/90833","Financial Evaluated"
"GEM/2018/B/12983",90994,"","GEM/2018/B/12983","Smart Phone with MDM/EMM/SDK",1624,"Department of Posts","2018-05-15","2018-05-25","https://bidplus.gem.gov.in/showbidDocument/90994","Financial Evaluated"
"GEM/2018/B/12991",91050,"","GEM/2018/B/12991","Video Recorder for CCTV System",6,"Urban Development Department Uttar Pradesh","2018-05-15","2018-05-25","https://bidplus.gem.gov.in/showbidDocument/91050","Financial Evaluated"
"GEM/2018/B/12992",91057,"","GEM/2018/B/12992","hopper or tipper",7,"Urban Development Department","2018-05-15","2018-05-25","https://bidplus.gem.gov.in/showbidDocument/91057","Financial Evaluated"
"GEM/2018/B/12999",91106,"","GEM/2018/B/12999","Vehicle Hiring Service",5,"Department of Revenue","2018-05-15","2018-05-25","https://bidplus.gem.gov.in/showbidDocument/91106","Financial Evaluated"
"GEM/2018/B/13007",91162,"","GEM/2018/B/13007","fume hoods for laboratory with cubboard",1,"Department of Agricultural Research and Education (DARE)","2018-05-18","2018-05-30","https://bidplus.gem.gov.in/showbidDocument/91162","Financial Evaluated"
"GEM/2018/B/13019",91246,"","GEM/2018/B/13019","power quality analyzers",1,"NA","2018-05-15","2018-05-25","https://bidplus.gem.gov.in/showbidDocument/91246","Financial Evaluated"
"GEM/2018/B/1302",9213,"","GEM/2018/B/1302","OEM Cartridge",150,"Department of Health and Family Welfare","2018-04-18","2018-05-04","https://bidplus.gem.gov.in/showbidDocument/9213","Financial Evaluated"
"GEM/2018/B/13025",91288,"","GEM/2018/B/13025","Desktops",29,"Department of Telecommunications (DOT)","2018-05-15","2018-05-30","https://bidplus.gem.gov.in/showbidDocument/91288","Financial Evaluated"
"GEM/2018/B/13030",91323,"","GEM/2018/B/13030","Light Emitting Diode LED Fixture- LED tube light",3940,"Department of Defence","2018-05-15","2018-05-25","https://bidplus.gem.gov.in/showbidDocument/91323","Financial Evaluated"
"GEM/2018/B/13116",91925,"","GEM/2018/B/13116","OEM Cartridge,OEM Cartridge,OEM Cartridge,OEM Cartridge",19,"Department of Rural Development (DRD)","2018-05-15","2018-05-25","https://bidplus.gem.gov.in/showbidDocument/91925","Financial Evaluated"
"GEM/2018/B/13165",92268,"","GEM/2018/B/13165","Human Resource Service,Human Resource Service,Human Resource Service,Human Resource Service",24,"Ministry of Commerce and Industry","2018-05-15","2018-06-05","https://bidplus.gem.gov.in/showbidDocument/92268","Financial Evaluated"
"GEM/2018/B/13211",92590,"","GEM/2018/B/13211","Human Resource Service,Human Resource Service,Human Resource Service,Human Resource Service",16,"Ministry of Commerce and Industry","2018-05-15","2018-06-05","https://bidplus.gem.gov.in/showbidDocument/92590","Financial Evaluated"
"GEM/2018/B/13230",92723,"","GEM/2018/B/13230","Human Resource Service,Human Resource Service,Human Resource Service,Human Resource Service",8,"Ministry of Commerce and Industry","2018-05-15","2018-06-05","https://bidplus.gem.gov.in/showbidDocument/92723","Financial Evaluated"
"GEM/2018/B/13243",92814,"","GEM/2018/B/13243","Human Resource Service,Human Resource Service,Human Resource Service",18,"Ministry of Commerce and Industry","2018-05-15","2018-06-05","https://bidplus.gem.gov.in/showbidDocument/92814","Financial Evaluated"
"GEM/2018/B/13253",92884,"","GEM/2018/B/13253","Security and Protective Software including Antivirus",1,"Department of Defence Research & Development","2018-05-15","2018-05-25","https://bidplus.gem.gov.in/showbidDocument/92884","Financial Evaluated"
"GEM/2018/B/13258",92919,"","GEM/2018/B/13258","Florist  Service,Florist  Service,Florist  Service",6,"Ministry of Commerce and Industry","2018-05-15","2018-06-05","https://bidplus.gem.gov.in/showbidDocument/92919","Financial Evaluated"
"GEM/2018/B/13264",92961,"","GEM/2018/B/13264","Pest  Control  Service,Pest  Control  Service",30,"Ministry of Commerce and Industry","2018-05-15","2018-06-05","https://bidplus.gem.gov.in/showbidDocument/92961","Financial Evaluated"
"GEM/2018/B/13319",93346,"","GEM/2018/B/13319","OEM Cartridge",29,"Central Armed Police Forces","2018-05-16","2018-05-28","https://bidplus.gem.gov.in/showbidDocument/93346","Financial Evaluated"
